ID,time,t,mood,mood_3dayavg,circumplex.arousal_3dayavg,circumplex.valence_3dayavg,activity_3dayavg,screen_3dayavg,call_3dayavg,sms_3dayavg,appCat.builtin_3dayavg,appCat.communication_3dayavg,appCat.other_3dayavg,appCat.professional_3dayavg,appCat.recreation_3dayavg,appCat.convenience_3dayavg,weekend
AS14.01,2014-03-21,33.0,0.10000000000000009,,,,,,,,,,,,,,0.0
AS14.01,2014-03-22,34.0,0.20000000000000018,,,,,,,,,,,,,,1.0
AS14.01,2014-03-23,35.0,0.3999999999999999,,,,,,,,,,,,,,1.0
AS14.01,2014-03-24,36.0,0.0,0.10638297872340363,0.875,0.35714285714285715,0.9999999999999999,0.31129130141756195,0.48,0.19999999999999998,0.17266762215286693,0.46203911236952244,0.27906356675316485,0.10244519272204591,0.2916995546352794,0.5483213861486766,0.0
AS14.01,2014-03-25,37.0,0.375,0.06382978723404342,1.0,0.2714285714285715,0.780204108205775,0.2417653658135826,0.6933333333333332,0.19999999999999998,0.05879397355118379,0.5811736356750662,0.11646362758978095,0.036362211217578426,0.1971691301470973,0.18479957631694283,0.0
AS14.01,2014-03-26,38.0,0.2999999999999998,0.13829787234042534,0.9791666666666666,0.2714285714285715,0.5158199727075922,0.6054134280679113,0.5333333333333333,0.19999999999999998,0.07389547654510906,0.7929181931030785,0.4130411923976761,0.04422843178099137,0.3017150325523513,0.21178277191622885,0.0
AS14.01,2014-03-27,39.0,0.5,0.09574468085106425,0.8958333333333333,0.18571428571428578,0.5695222728816097,0.8342758899512883,0.5333333333333333,0.19999999999999998,0.06794441020777589,0.9424045868325013,0.4362069871980231,0.047423882558594005,0.6256433231620484,0.20102117462475144,0.0
AS14.01,2014-03-28,40.0,0.20000000000000018,0.3085106382978733,0.7708333333333333,0.5285714285714285,0.8681432050854986,0.8910718853219124,0.10666666666666666,0.39999999999999997,0.08610451142737144,0.8493951582053312,0.42867188409498014,0.11455197117222363,0.4369303805632949,0.0532585324177883,0.0
AS14.01,2014-03-29,41.0,1.0,0.2340425531914896,0.5416666666666666,0.5714285714285714,0.8562613735753101,0.49852131838967667,0.37333333333333335,0.19999999999999998,0.5386312652664932,0.47443062274780223,0.25208515624119837,0.13105607357554053,0.41993413710414684,0.5343615217018463,1.0
AS14.01,2014-03-30,42.0,0.75,0.5319148936170208,0.625,0.7428571428571431,0.7092730436712361,0.30639056952939275,0.5866666666666667,0.39999999999999997,0.57797794243118,0.22466217831667587,0.31977152470830333,0.1123261077777444,0.17542796401177657,0.7803879050238518,1.0
AS14.01,2014-03-31,43.0,0.7000000000000002,0.6382978723404253,0.47916666666666663,0.7214285714285715,0.18721603099550221,0.0,0.48,0.19999999999999998,0.5371363949284162,0.0,0.39670731203551046,0.03191370564916184,0.18467303160701765,0.7057324254108199,0.0
AS14.01,2014-04-01,44.0,0.0,0.8510638297872335,0.6041666666666666,0.7214285714285715,0.07536125769583624,0.16395961032602863,0.5333333333333333,0.19999999999999998,0.18126263797882755,0.1779524669932698,0.46420309665886794,0.014765717050850906,0.28597415546463456,0.2924350024455469,0.0
AS14.01,2014-04-02,45.0,0.25,0.4255319148936163,0.6041666666666666,0.29285714285714287,0.2984285638123674,0.3738801445604169,0.37333333333333335,0.0,0.1528419600466849,0.31243217904349974,0.4187596465467709,0.24390688238822728,0.5881825524628228,0.8796779024195032,0.0
AS14.01,2014-04-03,46.0,0.20000000000000018,0.21276595744680815,0.7777777777777778,0.2571428571428572,0.6237872082763393,0.7731526726026792,0.5866666666666667,0.0,0.31320808576062475,0.5364426067347244,0.7952904197350977,0.36497395106321756,0.8087273116136553,1.0,0.0
AS14.01,2014-04-04,47.0,0.10000000000000009,0.0,0.5277777777777777,0.0,0.5293617828527944,0.9999999999999998,0.48,0.0,0.281137657016136,0.8992745628218104,0.7164825920904887,0.377493403656157,0.9012283660768501,0.9238418588697124,0.0
AS14.01,2014-04-05,48.0,0.3999999999999999,0.042553191489361986,0.5277777777777777,0.17142857142857149,0.5659742917335938,0.8862918699763194,0.5333333333333333,0.19999999999999998,0.3098188810908802,0.8748120777727051,0.7686922380739576,0.14835223831878058,0.7090554762267688,0.1912401781120377,1.0
AS14.01,2014-04-06,49.0,0.25,0.10638297872340363,0.375,0.14285714285714285,0.6418346892765819,0.4589679948778201,0.32,0.19999999999999998,0.8883847186555197,0.6741884836031079,0.3364443251078723,0.027285169643790276,0.39768674239541413,0.1775554376893711,1.0
AS14.01,2014-04-07,50.0,0.25,0.12765957446808507,0.46875,0.35714285714285715,0.7091864351576279,0.1284916015435668,0.32,0.19999999999999998,0.9999999999999999,0.23258164973719578,0.24745950797447858,0.0,0.12281181369609889,0.11577957364907354,0.0
AS14.01,2014-04-08,51.0,0.2999999999999998,0.1914893617021285,0.2881944444444444,0.29285714285714287,0.371663776236434,0.06841726535264109,0.26666666666666666,0.0,0.9483592433667852,0.3072320012266747,0.24140119495131185,0.022632653441050952,0.0,0.10749210755324623,0.0
AS14.01,2014-04-09,52.0,0.7000000000000002,0.1489361702127665,0.2881944444444444,0.1785714285714286,0.17774587975640366,0.3473386779571213,0.32,0.0,0.2333983270421889,0.60976224092554,0.36192998531659437,0.0294798945730308,0.4083478701568266,0.0,0.0
AS14.01,2014-04-10,53.0,0.7000000000000002,0.3404255319148932,0.27777777777777773,0.39285714285714285,0.42628047957043214,0.491794448053645,0.32,0.0,0.08756239714278258,0.7221861555352099,0.5755472478941891,0.0294798945730308,0.6342994436875689,0.21085298769604077,0.0
