,ID,time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.other,t,appCat.professional,appCat.recreation,appCat.convenience,weekend
0,AS14.01,2014-03-21,0.10000000000000009,0.7073170731707318,0.2,0.5982389359492806,0.7954470971143368,0.6000000000000001,0.0,0.19094170297341073,0.39893579433993176,0.20314923302919818,1.0,0.16435641216066987,0.5876313380348527,0.7101390686019556,0
1,AS14.01,2014-03-22,0.20000000000000018,0.902439024390244,0.5,0.7522138442636472,0.2059890560799015,0.30000000000000004,0.25,0.02887463094201532,0.3018207830392031,0.06502230779885332,2.0,0.015621085649146688,0.02797303172508972,0.07265822084298469,1
2,AS14.01,2014-03-23,0.3999999999999999,0.7073170731707318,0.8,0.39305649276891236,0.23744563640596353,0.0,0.0,0.06621908542006247,0.3220400716249477,0.040324736003246195,3.0,0.03216938605190329,0.07988760111446466,0.028360558788176095,1
3,AS14.01,2014-03-24,0.0,1.0000000000000002,0.0,0.33946465135696524,0.6494585579853258,1.0,0.0,0.03799688545484798,0.6192352671445348,0.03421374519363013,4.0,0.027509594560340123,0.43989872913874506,0.280705843620164,0
4,AS14.01,2014-03-25,0.375,0.853658536585366,0.5,0.4409440795623503,0.9695666894395962,0.0,0.25,0.049157608154249736,0.6933715533478164,0.3731557293099312,5.0,0.031910714629833054,0.19135787840645524,0.10453383433610489,0
5,AS14.01,2014-03-26,0.2999999999999998,0.5121951219512196,0.6,0.45628230738742853,0.7180043830316017,0.0,0.0,0.0582261496866339,0.5984651817971951,0.06439316349363346,6.0,0.038786630912198486,0.58612431512615,0.015647738523076722,0
6,AS14.01,2014-03-27,0.5,0.7073170731707318,0.8,0.6910427334791636,0.7687171385496251,0.2,0.25,0.06238789602890111,0.44724542302628173,0.026385044118134766,7.0,0.1665206544312861,0.14497722113196987,0.10615183816960148,0
7,AS14.01,2014-03-28,0.20000000000000018,0.3170731707317074,0.6,0.42695513543970903,0.14530041667588134,0.5,0.0,0.6569507423699303,0.0,0.18968847115007578,8.0,0.06608795421293479,0.1647960661513198,0.6728672950774695,0
8,AS14.01,2014-03-29,1.0,0.7073170731707318,1.0,0.28322720793199146,0.3145738199731978,0.4,0.25,0.11107305880750187,0.13660194430151568,0.13471686555430049,9.0,0.0,0.20400887411641538,0.3062820288548707,1
9,AS14.01,2014-03-30,0.75,0.36585365853658547,0.75,0.07640463051570334,0.1253671244875118,0.0,0.0,0.007533211853148994,0.031807831394148056,0.10631855965946224,10.0,0.0,0.15942545790505847,0.017960311538430872,1
10,AS14.01,2014-03-31,0.7000000000000002,0.6097560975609757,0.6,0.2952641438448549,0.4895780417049046,0.6000000000000001,0.0,0.1789731989728033,0.3290635961362142,0.2598141634526659,11.0,0.030577333861052696,0.32310995707713924,0.18463346585331883,0
11,AS14.01,2014-04-01,0.0,0.7073170731707318,0.0,0.5458530563272028,0.7553588573816814,0.1,0.0,0.07290096672595295,0.3852772136153424,0.08750275555451513,12.0,0.4745130825480546,0.676301632353574,1.0,0
12,AS14.01,2014-04-02,0.25,0.7723577235772359,0.6666666666666666,0.45946206516472593,0.9637479758471119,0.4,0.0,0.22292253268953155,0.44604022813228167,0.4975204886451647,13.0,0.25070967875825867,0.5040938842251945,0.1600984309114708,0
13,AS14.01,2014-04-03,0.20000000000000018,0.024390243902439046,0.0,0.18409340397416118,0.9659054674973575,0.4,0.0,0.13589909067558834,1.0,0.17793566536155797,14.0,0.05650302919800002,0.46767105659063096,0.09466682487148594,0
14,AS14.01,2014-04-04,0.10000000000000009,0.7073170731707318,0.4,0.5889583924434423,0.516597830362885,0.2,0.25,0.11142300089440868,0.3400420256086968,0.1417466996747958,15.0,0.0,0.37597290189065224,0.13456773737874936,0
15,AS14.01,2014-04-05,0.3999999999999999,0.41463414634146345,0.6,0.5487754729032739,0.06646572112248486,0.0,0.0,1.0,0.07505396150346959,0.048430455656543775,16.0,0.0,0.017485306863580734,0.14393246217505676,1
16,AS14.01,2014-04-06,0.25,0.2439024390243903,0.5,0.26338924391974233,0.27198074055372357,0.4,0.0,0.28581067291729617,0.18339579503699344,0.08548364127264677,17.0,0.0,0.03809517605538494,0.021690162114604384,1
17,AS14.01,2014-04-07,0.25,0.2845528455284554,0.25,0.19157978867136322,0.39045548501404603,0.1,0.0,0.04206379271258899,0.478082894212611,0.13545233037001486,18.0,0.04686844519945866,0.1840419998681439,0.12477764171954885,0
18,AS14.01,2014-04-08,0.2999999999999998,0.41463414634146345,0.3333333333333333,0.32046836251266436,0.6521367977386413,0.1,0.0,0.03972896080056304,0.6344825004684537,0.17365553325100805,19.0,0.014179492766835514,0.6556533519354485,0.016950583349005302,0
19,AS14.01,2014-04-09,0.7000000000000002,0.21951219512195125,1.0,0.5559987314688746,0.5753047686584345,0.4,0.0,0.08993700100102694,0.3912862404926768,0.30742429296860524,20.0,0.0,0.39121339828499496,0.2707736450155868,0
20,AS14.01,2014-04-10,0.7000000000000002,0.41463414634146345,0.8,0.33947536267372375,0.36305199506492214,0.7000000000000001,0.0,0.027792698050124583,0.2958149246248449,0.07455798954742579,21.0,0.017191643653063075,0.3089492429338226,0.17713014894546011,0
21,AS14.01,2014-04-11,0.5,0.024390243902439046,0.8,0.3448234791539474,0.4243419573692928,0.0,0.0,0.2064103009380791,0.18198465004952769,0.01947908802362853,22.0,0.06973974245516983,0.2570913918757112,0.11672232756182768,0
